company,years,total_laid_off,Ranking
Uber,2020,52675,1
Booking.com,2020,30625,2
Groupon,2020,19600,3
Swiggy,2020,15750,4
Airbnb,2020,13300,5
Bytedance,2021,25200,1
Katerra,2021,17038,2
Zillow,2021,14000,3
Instacart,2021,13139,4
"WhiteHat Jr",2021,12600,5
Meta,2022,77000,1
Amazon,2022,71050,2
Cisco,2022,28700,3
Peloton,2022,28588,4
Carvana,2022,28000,5
Philips,2022,28000,5
Google,2023,84000,1
Microsoft,2023,70000,2
Ericsson,2023,59500,3
Amazon,2023,56000,4
Salesforce,2023,56000,4
Dell,2023,46550,5
